Time,C_1,C_2,C_3,C-4,C_5,C_6,C_7,C_8
1486944552.117902,282,375,35,31,29,34,33,53
1486944552.140571,263,370,37,31,29,33,33,54
1486944552.182287,218,309,36,29,34,37,29,51
1486944552.194309,170,232,40,33,34,37,31,48
1486944552.214117,183,249,39,37,36,43,36,48
1486944552.230306,212,404,39,38,41,42,40,54
1486944552.246692,338,578,36,41,58,43,46,93
1486944552.26065,434,748,38,50,78,49,49,116
1486944552.28357,522,896,49,48,103,60,57,157
1486944552.297487,578,983,50,47,115,61,58,171
1486944552.321661,604,1013,51,47,116,61,56,177
1486944552.34431,549,940,50,48,111,60,53,165
1486944552.358184,483,840,50,40,97,55,49,151
1486944552.388445,401,702,42,39,75,44,39,113
1486944552.403782,434,597,43,38,59,36,33,112
1486944552.418201,388,446,44,38,56,37,31,104
1486944552.442832,383,407,43,36,52,36,31,94
1486944552.467524,374,345,41,35,53,33,34,92
1486944552.480958,374,310,36,35,51,31,32,85
1486944552.501486,209,238,34,35,46,34,34,55
1486944552.524248,177,216,33,36,45,31,33,44
1486944552.53832,164,199,35,34,44,33,32,45
1486944552.561365,158,195,37,33,47,38,29,44
1486944552.583816,111,168,34,34,42,43,30,44
1486944552.597642,116,187,32,36,42,40,30,44
1486944552.621749,121,214,32,36,42,41,29,41
1486944552.644516,146,236,31,39,43,40,30,42
1486944552.658533,151,251,31,39,37,37,32,42
1486944552.681275,154,251,31,39,38,34,34,41
1486944552.704121,161,269,34,43,36,35,37,42
1486944552.717932,158,255,34,42,36,36,38,43
1486944552.742189,135,232,35,42,35,34,38,41
1486944552.763576,127,212,34,41,35,33,39,39
1486944552.778603,131,231,38,41,32,38,38,38
1486944552.801396,125,199,35,34,32,38,34,43
1486944552.824272,118,203,37,33,34,37,34,45
1486944552.838155,131,235,36,33,33,36,34,48
1486944552.86103,133,240,35,33,34,38,33,50
1486944552.883905,131,223,31,32,35,31,32,50
1486944552.897578,121,220,30,36,34,33,31,48
1486944552.921836,110,201,28,39,34,34,32,47
1486944552.944769,140,261,30,39,37,37,32,47
1486944552.958444,147,277,30,38,36,39,28,42
1486944552.982567,156,293,32,39,34,42,27,44
1486944553.004077,189,339,37,38,36,44,30,40
1486944553.017876,212,375,37,39,36,44,27,43
1486944553.05943,212,355,37,40,35,43,25,40
1486944553.078613,210,354,37,45,37,41,25,42
1486944553.092729,212,371,38,59,53,129,27,45
1486944553.114235,197,345,36,67,60,193,44,50
1486944553.124322,265,427,38,73,69,230,241,77
1486944553.146969,434,697,38,94,86,300,469,124
1486944553.160873,540,778,43,97,92,320,534,160
1486944553.183956,556,811,46,92,88,325,575,189
1486944553.206497,566,832,45,89,82,335,585,195
1486944553.220432,548,810,44,84,76,324,538,186
1486944553.243545,449,629,44,63,56,265,363,159
1486944553.265999,326,547,42,57,44,249,259,126
1486944553.281138,295,484,39,50,36,215,150,73
1486944553.304005,277,463,38,45,40,153,103,58
1486944553.326765,253,435,37,43,40,123,81,55
1486944553.348427,186,347,36,35,42,115,58,55
1486944553.363671,186,348,35,33,45,98,48,51
1486944553.386242,201,363,35,37,44,87,40,52
1486944553.400468,185,333,36,35,42,58,34,47
1486944553.424307,173,298,36,33,43,55,33,47
1486944553.445863,218,363,33,35,41,55,34,47
1486944553.461869,220,358,30,36,43,96,34,45
1486944553.486331,221,362,28,36,46,188,34,46
1486944553.514135,274,418,30,35,45,330,32,47
1486944553.524963,299,470,33,36,43,366,35,46
1486944553.543357,271,437,35,34,42,379,37,45
1486944553.56613,257,414,38,31,37,372,41,43
1486944553.581632,284,435,38,29,33,336,41,40
1486944553.604243,231,381,39,29,33,209,40,39
1486944553.627082,400,424,40,38,70,192,39,83
1486944553.640703,853,971,45,41,94,176,38,107
1486944553.663781,915,1043,45,42,97,199,33,113
1486944553.686526,961,1092,45,45,106,344,33,117
1486944553.70034,1118,1207,44,44,115,375,31,128
1486944553.724331,1094,1200,42,39,104,354,31,115
1486944553.745789,798,822,39,36,83,350,31,94
1486944553.760984,730,745,36,36,80,336,35,89
1486944553.791502,656,650,37,36,67,184,36,82
1486944553.806777,333,412,36,35,53,85,37,70
1486944553.820509,207,320,35,35,40,71,37,50
1486944553.843564,178,304,37,35,39,63,35,48
1486944553.866043,157,250,42,34,39,58,30,48
1486944553.879956,143,246,42,30,41,51,30,49
1486944553.904102,134,229,44,32,39,50,31,38
1486944553.926828,134,220,42,30,34,43,30,45
1486944553.940757,131,227,39,31,36,39,30,46
1486944553.964057,167,252,37,33,35,44,31,43
1486944553.987687,170,248,39,34,37,45,29,43
1486944554.002533,189,271,38,35,39,41,30,41
1486944554.024508,190,273,41,35,39,44,31,35
1486944554.046095,187,256,39,35,39,44,31,33
1486944554.068958,157,238,40,37,40,39,31,35
1486944554.084148,179,310,38,38,38,39,30,36
1486944554.105555,142,274,37,35,32,39,29,37
1486944554.146281,142,274,39,36,31,38,30,37
1486944554.158462,150,284,42,39,31,40,32,37
1486944554.179757,161,310,43,40,32,41,31,33
1486944554.195161,162,233,45,43,42,40,38,37
1486944554.210274,304,539,45,47,57,40,43,72
1486944554.22549,385,682,41,55,71,43,44,105
1486944554.248248,463,819,37,66,85,45,47,140
1486944554.263516,549,928,38,70,97,48,51,166
1486944554.286267,573,959,33,71,96,51,46,175
1486944554.309242,525,860,33,74,91,53,44,168
1486944554.323168,473,768,34,67,82,48,43,150
1486944554.345719,400,628,35,56,69,47,40,122
1486944554.368756,264,433,30,47,50,43,35,84
1486944554.382699,176,349,29,43,45,40,36,65
1486944554.410005,128,259,32,40,38,35,32,49
1486944554.430178,110,212,33,42,36,39,31,47
1486944554.445561,90,173,33,41,33,38,32,36
1486944554.468571,85,155,38,43,31,37,30,34
1486944554.492864,78,139,40,41,29,38,29,28
1486944554.508923,78,125,39,37,29,39,31,30
1486944554.525727,67,115,39,34,31,36,31,28
1486944554.548404,62,116,46,34,31,32,32,28
1486944554.56243,59,112,45,30,34,36,34,28
1486944554.586646,59,118,45,30,35,35,36,30
1486944554.6097,61,121,44,35,35,36,34,31
1486944554.623664,56,94,42,36,33,37,33,33
1486944554.646103,52,92,38,37,35,39,30,32
1486944554.668823,55,97,35,36,35,36,28,33
1486944554.682748,54,96,36,35,37,37,24,33
1486944554.707177,49,88,34,29,37,34,26,32
1486944554.728381,52,100,37,29,37,35,25,30
1486944554.743731,51,94,34,30,34,33,31,29
1486944554.766412,45,86,34,31,32,33,31,27
1486944554.789167,44,90,33,34,31,32,36,30
1486944554.803429,49,98,34,34,31,33,35,32
1486944554.825669,47,89,33,40,33,30,42,35
1486944554.848395,53,105,32,45,32,32,43,34
1486944554.862469,59,110,32,47,34,33,44,34
1486944554.886383,59,110,32,45,34,36,40,30
1486944554.90912,58,113,30,47,36,36,39,28
1486944554.923309,56,110,33,46,33,38,34,24
1486944554.945881,54,104,39,40,36,39,31,24
1486944554.968638,49,103,40,38,34,39,30,28
1486944554.99277,48,94,40,40,32,37,31,26
1486944555.007161,52,92,41,39,31,41,32,25
1486944555.028407,54,99,37,36,33,41,29,25
1486944555.051136,57,98,32,36,31,38,32,26
1486944555.066234,54,93,33,38,31,36,31,26
1486944555.089396,56,112,34,36,31,33,35,30
1486944555.112045,52,111,34,35,30,29,34,32
1486944555.126051,52,112,41,34,30,26,34,32
1486944555.148427,48,108,42,34,31,26,31,32
1486944555.17118,52,112,41,34,34,31,31,31
1486944555.186389,54,99,42,35,38,34,29,27
